Agency Name,State Name [District] Latest available year,Grade 10 Students - American Indian/Alaska Native [District] 2016-17,Grade 10 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 10 Students - Hispanic [District] 2016-17,Grade 10 Students - Black [District] 2016-17,Grade 10 Students - White [District] 2016-17,Grade 10 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 10 Students - Two or More Races [District] 2016-17,Grade 11 Students - American Indian/Alaska Native [District] 2016-17,Grade 11 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 11 Students - Hispanic [District] 2016-17,Grade 11 Students - Black [District] 2016-17,Grade 11 Students - White [District] 2016-17,Grade 11 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 11 Students - Two or More Races [District] 2016-17,Grade 12 Students - American Indian/Alaska Native [District] 2016-17,Grade 12 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 12 Students - Hispanic [District] 2016-17,Grade 12 Students - Black [District] 2016-17,Grade 12 Students - White [District] 2016-17,Grade 12 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 12 Students - Two or More Races [District] 2016-17
ABC UNIFIED,California,4,623,656,159,100,12,32,–,687,752,158,95,15,31,8,701,719,165,119,11,30
ACALANES UNION HIGH,California,2,200,144,20,885,2,132,4,247,141,25,926,6,84,2,203,94,23,915,5,76
ACKERMAN CHARTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACTON-AGUA DULCE UNIFIED,California,5,16,316,81,244,3,58,4,15,336,94,227,2,76,2,21,367,78,224,–,75
ADELANTO ELEMENTARY,California,2,4,325,103,81,1,17,1,2,331,100,91,1,26,1,3,188,46,40,–,14
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,–,3,81,54,8,2,4,3,9,86,84,4,3,4,1,8,103,114,16,1,10
ALAMEDA UNIFIED,California,1,315,164,89,241,7,65,6,389,170,102,215,9,42,3,363,172,97,217,5,53
ALBANY CITY UNIFIED,California,1,95,53,16,98,2,34,1,90,50,11,111,1,33,1,84,50,15,120,–,30
ALEXANDER VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALHAMBRA UNIFIED,California,3,1011,685,12,33,4,31,4,1136,676,10,31,–,46,7,1061,721,16,40,1,31
ALISAL UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALLENSWORTH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALPAUGH UNIFIED,California,2,1,44,2,20,–,–,–,1,48,3,23,–,3,1,1,47,2,28,–,3
ALPINE COUNTY OFFICE OF EDUCATION,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,–,–,–,–,–,–
ALPINE COUNTY UNIFIED,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA LOMA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALTA-DUTCH FLAT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALUM ROCK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVINA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALVORD UNIFIED,California,7,74,1172,60,151,4,21,2,73,1188,59,139,5,21,4,86,1221,77,156,8,12
AMADOR COUNTY OFFICE OF EDUCATION,California,–,–,2,–,7,–,1,3,–,5,–,11,–,4,–,–,6,–,12,–,–
AMADOR COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0,0,0
AMADOR COUNTY UNIFIED,California,10,5,54,1,195,–,29,5,6,71,1,228,3,21,4,3,60,2,222,–,24
ANAHEIM ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANAHEIM UNION HIGH,California,17,946,3519,112,521,23,86,61,961,3386,125,597,31,92,13,904,3303,134,544,23,278
ANDERSON UNION HIGH,California,26,13,83,5,330,4,17,32,11,58,9,319,5,15,23,11,80,8,296,–,8
ANDERSON VALLEY UNIFIED,California,–,–,37,–,9,–,1,1,–,25,–,12,–,–,–,–,40,1,11,–,–
ANTELOPE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY UNION HIGH,California,22,149,3548,1084,845,15,223,24,159,3602,982,772,12,236,20,162,3627,1071,807,13,272
ANTIOCH UNIFIED,California,7,134,575,365,205,12,61,9,156,546,375,222,16,29,19,149,557,409,256,12,41
APPLE VALLEY UNIFIED,California,5,49,493,103,397,6,15,10,35,435,84,393,6,24,9,44,447,114,453,4,13
ARCADIA UNIFIED,California,2,585,114,19,103,1,9,1,614,127,12,117,–,12,1,611,138,16,117,3,16
ARCATA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARCOHE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARENA UNION ELEMENTARY,California,–,–,2,–,3,–,–,–,–,2,–,2,–,–,–,–,–,–,1,–,–
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMONA UNION ELEMENTARY,California,3,1,23,6,27,–,6,2,3,50,2,55,–,4,4,1,38,3,50,–,4
AROMAS - SAN JUAN UNIFIED,California,–,1,58,2,27,–,–,–,1,74,–,21,–,–,1,2,38,–,13,–,4
ARVIN UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ATASCADERO UNIFIED,California,2,13,96,6,230,–,7,9,6,120,9,234,1,3,3,9,96,7,198,–,4
ATWATER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AUBURN UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AZUSA UNIFIED,California,3,8,584,12,22,1,6,1,15,615,8,28,–,5,–,21,622,7,23,–,4
BAKER VALLEY UNIFIED,California,–,–,12,–,2,–,–,–,–,5,–,1,–,–,–,–,9,–,1,–,–
BAKERSFIELD CITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALDWIN PARK UNIFIED,California,70,106,1492,118,132,10,185,53,96,1499,127,123,9,154,43,114,1565,109,117,6,153
BALDY VIEW ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALDY VIEW ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALLARD ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALLICO-CRESSEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BANGOR UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BANNING UNIFIED,California,10,21,240,25,39,1,6,19,19,213,30,50,–,5,13,25,215,32,38,3,4
BANTA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BARSTOW UNIFIED,California,8,9,213,64,82,2,17,7,8,183,67,74,6,14,5,8,221,56,98,9,11
BASS LAKE JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BASSETT UNIFIED,California,–,13,260,3,3,–,–,1,9,270,3,7,–,–,1,14,266,5,5,–,–
BAYSHORE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BEAR VALLEY UNIFIED,California,–,2,66,3,110,–,5,–,1,67,4,121,1,5,3,4,78,2,107,–,7
BEARDSLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BEAUMONT UNIFIED,California,10,44,381,41,224,1,18,9,36,324,46,243,1,12,8,52,371,42,235,2,17
BELLA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BELLEVIEW ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BELLEVUE UNION,California,1,2,20,–,1,–,1,–,–,1,–,–,–,–,0,0,0,0,0,0,0
BELLFLOWER UNIFIED,California,3,76,597,126,99,10,24,5,84,612,123,80,7,24,5,100,611,140,127,8,23
BELMONT-REDWOOD SHORES ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BELRIDGE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BENICIA UNIFIED,California,–,53,64,36,201,–,57,1,54,81,33,184,3,70,2,56,75,39,221,3,50
BENNETT VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BERKELEY UNIFIED,California,6,72,194,146,302,2,87,–,71,252,149,306,–,89,1,94,199,190,309,4,94
BERRYESSA UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BEVERLY HILLS UNIFIED,California,1,61,33,5,309,1,4,1,50,27,12,301,1,3,1,59,28,12,282,–,9
BIG CREEK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BIG LAGOON UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BIG OAK FLAT-GROVELAND UNIFIED,California,3,–,6,–,17,–,2,1,–,5,–,16,–,–,–,1,4,–,21,–,–
BIG PINE UNIFIED,California,3,–,4,–,1,–,–,4,–,3,–,3,–,–,7,–,1,–,5,–,1
BIG SPRINGS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BIG SUR UNIFIED,California,–,–,–,–,1,–,–,–,–,1,–,2,–,–,–,–,1,–,1,–,–
BIG VALLEY JOINT UNIFIED,California,–,–,3,–,17,–,–,2,–,1,–,11,–,–,1,–,2,–,10,–,–
BIGGS UNIFIED,California,1,2,14,2,29,–,1,–,2,19,–,30,–,1,–,3,15,1,15,–,–
BISHOP UNIFIED,California,23,2,58,–,64,–,17,16,4,46,1,69,–,14,20,1,66,–,70,–,8
BITTERWATER-TULLY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BLACK BUTTE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BLACK OAK MINE UNIFIED,California,1,1,7,–,73,–,–,4,–,8,2,85,–,–,5,2,12,1,84,–,1
BLAKE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BLOCHMAN UNION ELEMENTARY,California,–,1,12,–,41,–,5,1,–,17,3,52,–,3,1,2,25,–,35,–,8
BLP SCHS SELF-INC. WORKERS COMPENSATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BLUE LAKE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BOGUS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BOLINAS-STINSON UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BONITA UNIFIED,California,1,65,420,32,261,2,86,3,91,417,28,247,2,75,4,63,445,25,281,3,84
BONNY DOON UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BONSALL UNIFIED,CALIFORNIA,3,5,45,–,41,–,11,3,3,45,2,34,–,5,–,1,35,1,6,–,1
BORREGO SPRINGS UNIFIED,California,–,1,150,8,11,–,3,1,1,144,9,15,1,6,–,–,64,3,10,1,2
BRADLEY UNION ELEMENTARY,California,1,1,2,–,10,–,–,–,–,1,1,10,–,4,1,1,3,–,4,–,4
BRAWLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BRAWLEY UNION HIGH,California,–,4,416,9,34,–,2,–,4,406,3,36,–,2,1,5,440,4,37,–,1
BREA-OLINDA UNIFIED,California,–,148,161,10,168,1,14,–,103,176,7,172,4,13,1,98,149,11,201,3,4
BRENTWOOD UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BRET HARTE UNION HIGH,California,3,5,34,–,128,–,16,3,3,29,–,121,–,7,2,1,45,–,119,–,8
BRIDGEVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BRIGGS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BRISBANE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BRITTAN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BROWNS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUCKEYE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUELLTON UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUENA PARK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUENA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BURBANK UNIFIED,California,12,141,643,41,661,–,76,11,137,630,48,683,–,83,9,117,614,43,704,–,64
BURLINGAME ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BURNT RANCH ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BURREL UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BURTON ELEMENTARY,California,4,5,65,1,30,–,–,1,1,55,1,27,–,–,1,3,31,–,18,–,–
BUTTE COUNTY OFFICE OF EDUCATION,California,4,1,31,2,95,–,13,2,5,20,2,101,–,9,6,4,38,6,120,2,21
BUTTE COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTTE VALLEY UNIFIED,California,–,–,8,–,13,–,1,1,–,9,–,8,–,1,1,–,7,–,6,–,1
BUTTEVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUTTONWILLOW UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BYRON UNION ELEMENTARY,California,–,2,21,3,36,–,3,1,1,18,1,23,–,2,–,5,34,1,28,–,2
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),California,–,1,19,2,8,–,1,–,–,34,5,9,1,1,–,5,53,5,6,1,3
CABRILLO UNIFIED,California,–,7,115,1,105,–,9,–,7,115,3,137,–,4,2,9,136,1,121,–,8
CAJON VALLEY UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CALAVERAS COUNTY OFFICE OF EDUCATION,California,–,1,12,1,24,–,3,–,–,16,1,34,1,5,1,–,12,1,52,1,6
CALAVERAS UNIFIED,California,5,5,37,2,194,1,9,7,5,35,3,188,1,8,3,3,33,4,192,1,7
CALEXICO UNIFIED,California,–,2,856,–,–,–,1,–,1,842,–,5,–,–,–,4,734,–,5,–,1
CALIENTE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,California,1,2,38,19,2,–,–,–,3,76,29,5,1,–,–,4,93,74,20,2,–
CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),California,–,–,4,–,2,–,–,–,–,–,1,4,–,–,–,1,5,–,1,1,1
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),California,–,2,17,2,13,–,1,–,10,17,6,6,–,1,1,11,47,7,16,1,3
CALIPATRIA UNIFIED,California,–,–,89,2,10,–,–,–,–,88,4,7,–,–,–,–,82,1,3,–,1
CALISTOGA JOINT UNIFIED,California,–,–,46,–,9,–,1,1,2,37,–,10,–,–,–,–,58,–,15,–,–
CAMBRIAN,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAMINO UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAMPBELL UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAMPBELL UNION HIGH,California,8,269,709,58,913,14,85,11,341,675,55,767,12,75,4,273,596,44,749,12,120
CAMPTONVILLE ELEMENTARY,California,–,–,9,–,22,–,8,1,1,9,–,17,–,3,1,–,10,–,28,1,8
CANYON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAPAY JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAPISTRANO UNIFIED,California,12,338,1143,78,2642,5,340,8,347,1158,73,2703,9,321,13,317,1083,78,2700,4,329
CARDIFF ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CARLSBAD UNIFIED,California,5,53,268,14,499,2,63,3,86,252,6,557,1,60,9,53,232,19,492,5,60
CARMEL UNIFIED,California,–,8,53,2,129,2,37,–,11,31,–,142,–,35,1,10,31,2,135,2,27
CARPINTERIA UNIFIED,California,–,5,123,1,27,–,4,1,3,111,2,37,–,2,2,2,142,1,36,–,1
CARUTHERS UNIFIED,California,1,10,135,–,16,1,3,–,8,119,–,19,–,1,2,15,105,1,16,–,1
CASCADE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CASTAIC UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CASTLE ROCK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CASTRO VALLEY UNIFIED,California,3,219,183,55,205,3,76,4,263,172,63,206,–,62,2,206,198,56,240,6,71
CAYUCOS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER JOINT UNIFIED,California,4,39,105,61,168,3,10,3,40,97,38,152,2,10,7,41,73,45,176,4,9
CENTINELA VALLEY UNION HIGH,California,1,47,1261,263,46,10,54,2,58,1273,305,44,17,41,3,75,1317,339,47,16,59
CENTRAL CALIF MIGRANT HEAD START JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL SIERRA ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL SIERRA ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL UNIFIED,California,10,157,628,131,175,3,15,6,164,589,98,198,2,15,7,174,633,99,216,4,12
CENTRAL UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL UNION HIGH,California,1,11,978,18,37,–,2,–,12,917,3,32,–,1,3,12,858,7,40,1,2
CENTRAL VALLEY PRE-SCHOOL JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL VALLEY SUPPORT SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRALIA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CERES UNIFIED,California,5,62,795,16,158,7,7,9,56,743,15,178,7,10,8,65,725,19,152,9,13
CHAFFEY JOINT UNION HIGH,California,25,527,3838,446,935,27,137,27,501,3777,480,1063,31,121,22,454,3840,505,1072,22,149
CHARTER OAK UNIFIED,California,–,31,254,12,77,2,12,4,29,283,21,102,2,12,4,31,260,21,119,–,7
CHATOM UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHAWANAKEE UNIFIED,California,6,1,33,1,93,–,4,13,3,28,2,73,–,2,8,1,29,2,92,–,2
CHICAGO PARK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHICO UNIFIED,California,20,64,257,25,707,4,57,10,82,232,34,666,10,47,21,75,244,30,648,9,34
CHINO VALLEY UNIFIED,California,3,431,1305,100,448,7,50,5,432,1338,90,485,5,68,4,391,1470,105,504,5,61
CHOWCHILLA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
